ticker,base,quote,exchange,price,ask,bid,volume
tusd-bnb,tusd,bnb,binance,0.0,0.0,0.0,0.0
zen-btc,zen,btc,binance,0.0008055,0.0008064,0.0008059,19342.85
zen-eth,zen,eth,binance,0.03135,0.03143,0.03122,1850.419
zen-bnb,zen,bnb,binance,0.3755,0.3775,0.3749,1608.23
sky-btc,sky,btc,binance,5.673e-05,5.685e-05,5.669e-05,209164.0
sky-eth,sky,eth,binance,0.00221,0.00221,0.00219,18330.042
sky-bnb,sky,bnb,binance,0.0,0.0,0.0,0.0
eos-usd,eos,usd,binance,2.7287,2.7292,2.7285,6026501.17
eos-bnb,eos,bnb,binance,0.168,0.1683,0.168,61539.61
cvc-btc,cvc,btc,binance,2.69e-06,2.7e-06,2.69e-06,3450376.0
cvc-eth,cvc,eth,binance,0.00010386,0.00010521,0.0001042,509840.0
cvc-bnb,cvc,bnb,binance,0.0,0.0,0.0,0.0
theta-btc,theta,btc,binance,1.405e-05,1.411e-05,1.405e-05,5860977.0
theta-eth,theta,eth,binance,0.00054686,0.00054686,0.00054357,390661.0
theta-bnb,theta,bnb,binance,0.006569,0.00657,0.006537,63680.0
xrp-bnb,xrp,bnb,binance,0.01206,0.01205,0.01204,947845.4
tusd-usd,tusd,usd,binance,0.9993,0.9993,0.999,3586416.52
iota-usd,iota,usd,binance,0.1715,0.1719,0.1716,10242314.12
xlm-usd,xlm,usd,binance,0.06249,0.06253,0.06249,118601716.0
iotx-btc,iotx,btc,binance,3.4e-07,3.4e-07,3.3e-07,31978397.0
iotx-eth,iotx,eth,binance,1.286e-05,1.295e-05,1.279e-05,3434996.0
qkc-btc,qkc,btc,binance,3.6e-07,3.7e-07,3.6e-07,166804218.0
qkc-eth,qkc,eth,binance,1.398e-05,1.411e-05,1.398e-05,13538310.0
agi-btc,agi,btc,binance,1.73e-06,1.74e-06,1.73e-06,5746892.0
agi-eth,agi,eth,binance,6.766e-05,6.77e-05,6.725e-05,1189885.0
agi-bnb,agi,bnb,binance,0.000772,0.0,0.0,79206.0
nxs-btc,nxs,btc,binance,2.175e-05,2.185e-05,2.176e-05,264107.0
nxs-eth,nxs,eth,binance,0.000846,0.000851,0.000835,13584.33
nxs-bnb,nxs,bnb,binance,0.0,0.0,0.0,0.0
enj-bnb,enj,bnb,binance,0.00918,0.009297,0.009206,879447.0
data-btc,data,btc,binance,6.16e-06,6.17e-06,6.16e-06,9162335.0
data-eth,data,eth,binance,0.00024038,0.00023999,0.00023847,654104.0
ont-usd,ont,usd,binance,0.4731,0.4734,0.4731,9479692.68
trx-bnb,trx,bnb,binance,0.000868,0.000869,0.000868,15075468.0
trx-usd,trx,usd,binance,0.01408,0.01408,0.01407,771144131.3
etc-usd,etc,usd,binance,5.7048,5.7071,5.7051,1212200.36
etc-bnb,etc,bnb,binance,0.3515,0.3525,0.3515,5313.82
icx-usd,icx,usd,binance,0.2841,0.2841,0.2838,13006419.11
sc-btc,sc,btc,binance,1.9e-07,2e-07,1.9e-07,68105141.0
sc-eth,sc,eth,binance,7.49e-06,7.52e-06,7.47e-06,19123700.0
sc-bnb,sc,bnb,binance,8.99e-05,9.03e-05,8.99e-05,8631617.0
npxs-btc,npxs,btc,binance,0.0,0.0,0.0,0.0
npxs-eth,npxs,eth,binance,6.2e-07,6.2e-07,6.1e-07,426481706.0
ven-usd,ven,usd,binance,0.0,0.0,0.0,0.0
key-btc,key,btc,binance,0.0,0.0,0.0,0.0
key-eth,key,eth,binance,3.34e-06,3.35e-06,3.34e-06,9804170.0
nas-btc,nas,btc,binance,3.63e-05,3.63e-05,3.62e-05,1623293.49
nas-eth,nas,eth,binance,0.001405,0.00141,0.001404,279175.64
nas-bnb,nas,bnb,binance,0.0,0.0,0.0,0.0
